mid,raw_text,isLongText,like_count,comments_count,reposts_count,created_at,source,user_id
4416704903470474,累了，iphone11和华为mate30我是真的每天都在纠结，sa了我吧。<br />我的小破6s还能坚持一年吗，等明年苹果5g出来。 ,0,2,18,0,1小时前,iPhone客户端,6584134919
4416569435908681,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAMate30%23&extparam=%23%E5%8D%8E%E4%B8%BAMate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为Mate30#</span></a>mate30是真的丑，不过比起隔壁iPhone11刚发布就落后华为一代的样子，含泪买了吧 <a data-url=""http://t.cn/R2WJKXm"" href=""https://m.weibo.cn/p/index?containerid=23065700428008611010800000061&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">北京 · 五道口</span></a> ",0,14,0,0,10小时前,HUAWEI Mate 20 Pro,1074526074
4416702751793995,"又是壳厂曝光，这次曝光的是今年下半年的华为旗舰华为Mate30系列的背面设计，这下实锤了奥利奥设计了，只不过这个闪光灯真的感觉像是美人脸上多个痣，你觉得那？<span class=""url-icon""><img alt=[并不简单] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_bingbujiandan-e0c6936005.png"" style=""width:1em; height:1em;"" /></span> ",0,1,0,2,1小时前,跪求来去之间送的会员,5113789403
4416699942538067,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAWatchGT%23&extparam=%23%E5%8D%8E%E4%B8%BAWatchGT%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为WatchGT#</span></a>2即将于9月19日慕尼黑和<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BA+Mate30%23&extparam=%23%E5%8D%8E%E4%B8%BA+Mate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为 Mate30#</span></a> 一起发布！据爆料：<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAWatchGT%23&extparam=%23%E5%8D%8E%E4%B8%BAWatchGT%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为WatchGT#</span></a>  2手表将采用麒麟A1芯片，而且是第一款采用<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BA%E9%B8%BF%E8%92%99%23&extparam=%23%E5%8D%8E%E4%B8%BA%E9%B8%BF%E8%92%99%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为鸿蒙#</span></a> OS的手表。 ",0,6,5,0,1小时前,微博 weibo.com,2495491851
4416698537438111,"华为mate30保护壳曝光，惊呆的圆鼻子二郎神<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span> ",0,0,0,0,1小时前,iPhone客户端,1793455863
4416052622443551,"前魅族李楠谈iPhone11，7P可以考虑更换11，iPhone12之前出来的所有5Ｇ手机都是小白鼠，不要听手机厂商忽悠。（是否是李楠本人无从考证）

其实我个人觉得李楠说的没错，现在很多5Ｇ手机都是披着羊皮的4Ｇ，玩的是噱头不是真5Ｇ。

月中发布的华为mate30很有可能是真5Ｇ但要看真机。（和模组芯片有关）

至于其它5G手机买的很有可能是个心理安慰，即使强如三星旗舰机也并非全模组5Ｇ。

一点粗见，欢迎讨论指正。",1,48,87,9,09-13,手机超话,5327483983
4416695446150435,"三星Note10+、华为Mate30 Pro、iPhone 11 Max，下半年高端手机市场三巨头，就设计而言，你最看好哪一款？<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-861403219c.png"" style=""width:1em; height:1em;"" /></span> ",0,2,9,0,2小时前,即刻笔记,1938427540
4416694032276667,"Mate 30 Pro 保护壳显示其支持潜望式摄像头<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%8E%E4%B8%BAMate30%23&extparam=%23%E5%8D%8E%E4%B8%BAMate30%23&luicode=10000011&lfid=100103type%3D1%26q%3DMate30"" data-hide=""""><span class=""surl-text"">#华为Mate30#</span></a> ",0,1,0,0,2小时前,华为超话,2824103313
4416535386921167,"有朋友友问我iPhone11和华为mate30,二者相比我会选谁，如果是现在的华为产品，我肯定选iPhone11系列。如果和Mate30 Pro相比，我有可能选华为Mate30 Pro。我对华为的态度不像一些人，认为买华为就是爱国。
不知道谁在营销买华为=爱国。
我爱国，但是不爱华为，如果华为有好产品，我也一样会买。[吃瓜] ​ http://t.cn/z8LdMVo",1,22,0,0,12小时前,OPPO Reno 10倍变焦版,2036941701
4416687950163186,"mate30手机壳曝光，将搭载潜望式变焦镜头，不过这个摄像头还有sensor排列是真心丑，你们觉得呢？<span class=""url-icon""><img alt=[跪了] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_guile-7b3e474f7f.png"" style=""width:1em; height:1em;"" /></span> ",0,1,0,0,2小时前,MEIZU 15 · 雕刻时光,1751981481
